Zip Code,Median,Mean,Pop
42047,29701.00,44141.00,192.00
42048,41205.00,50978.00,2147.00
42049,43384.00,56059.00,1480.00
42050,34539.00,43989.00,3256.00
42051,38046.00,56369.00,2840.00
42053,47556.00,57699.00,4931.00
42054,41101.00,47654.00,984.00
42055,40633.00,46955.00,2609.00
42056,44937.00,50378.00,1982.00
42058,41858.00,53300.00,2336.00
42060,38058.00,58812.00,130.00
42061,38250.00,58688.00,55.00
42064,33966.00,45347.00,8421.00
42066,33685.00,46836.00,23182.00
42069,41750.00,63294.00,1100.00
42071,35851.00,50217.00,29655.00
42076,41347.00,47828.00,1213.00
42078,29385.00,45511.00,1852.00
42079,50583.00,64933.00,1426.00
42081,38939.00,51101.00,2203.00
42082,39151.00,50946.00,1845.00
42083,41858.00,53300.00,446.00
42084,35980.00,44461.00,83.00
42085,33583.00,42748.00,918.00
42086,50226.00,64436.00,4036.00
42087,38836.00,58683.00,2419.00
42088,34534.00,43286.00,2656.00
42101,34545.00,41550.00,55648.00
42102,47942.00,52471.00,88.00
42103,64250.00,84915.00,18936.00
42104,56208.00,65600.00,29610.00
42120,31344.00,39306.00,2588.00
42122,67961.00,98068.00,4368.00
42123,44239.00,60833.00,840.00
42124,36228.00,40372.00,55.00
42127,35203.00,50199.00,6199.00
42129,33156.00,39704.00,7026.00
42130,42289.00,50131.00,175.00
42133,35115.00,47369.00,1370.00
42134,41690.00,51389.00,16785.00
42140,30329.00,41283.00,1264.00
42141,36904.00,48728.00,30349.00
42151,26382.00,33424.00,275.00
42153,30741.00,37907.00,326.00
42154,38740.00,47854.00,691.00
42156,44239.00,60833.00,254.00
42157,40024.00,45711.00,437.00
42159,45644.00,57142.00,1195.00
42160,38883.00,47715.00,1992.00
42163,34472.00,41780.00,56.00
42164,35369.00,42104.00,16277.00
42166,37747.00,42754.00,2314.00
42167,28914.00,35725.00,8145.00
42170,56228.00,63298.00,1403.00
42171,42254.00,51824.00,6841.00
42202,34091.00,47448.00,2389.00
42204,42123.00,51189.00,657.00
42206,40842.00,46831.00,5407.00
42207,39110.00,52321.00,1207.00
