,Mean Scale Score,County Name,School Code,District Code,Zip Code,District Name,Total_Budget,Total_Students,Per_Student_Spending,Median,Mean,Pop,YearsTeaching,Enrolled,Utilized,Percent_Eligible,Percent_Utilized,Sanctuary
0,2446.35,Kern,6009690,63560,93307,Lamont Elementary,"31,556,128","2,958.4","10,667","35,780","43,139","82,658",11.2307692308,625,601,0.96,0.9616,0.0
1,2417.15,Kern,6009674,63560,93241,Lamont Elementary,"31,556,128","2,958.4","10,667","32,405","40,337","17,489",11.2307692308,1182,1072,0.91,0.906937394247,0.0
2,2386.35,Kern,6009682,63560,93241,Lamont Elementary,"31,556,128","2,958.4","10,667","32,405","40,337","17,489",11.2307692308,786,674,0.86,0.857506361323,0.0
3,2441.225,Kern,6009708,63560,93241,Lamont Elementary,"31,556,128","2,958.4","10,667","32,405","40,337","17,489",11.2307692308,512,477,0.93,0.931640625,0.0
4,2471.75,Kern,6010227,63834,93307,Vineland Elementary,"7,261,170",673.3,"10,785","35,780","43,139","82,658",10.5714285714,325,325,1.0,1.0,0.0
5,2345.4,Kern,6010235,63834,93307,Vineland Elementary,"7,261,170",673.3,"10,785","35,780","43,139","82,658",10.5714285714,407,406,1.0,0.997542997543,0.0
6,2454.6,Napa,101568,66266,94558,Napa Valley Unified,"180,196,699","16,098.9","11,193","71,873","89,645","65,373",12.5663716814,813,535,0.66,0.658056580566,1.0
7,2514.2,Napa,2830016,66266,94558,Napa Valley Unified,"180,196,699","16,098.9","11,193","71,873","89,645","65,373",12.5663716814,1782,735,0.41,0.412457912458,1.0
8,2487.55,Napa,2835601,66266,94558,Napa Valley Unified,"180,196,699","16,098.9","11,193","71,873","89,645","65,373",12.5663716814,1906,1021,0.54,0.535676810073,1.0
9,2379.0,Napa,6026942,66266,94558,Napa Valley Unified,"180,196,699","16,098.9","11,193","71,873","89,645","65,373",12.5663716814,417,353,0.85,0.846522781775,1.0
10,2504.08333333,Napa,6058788,66266,94558,Napa Valley Unified,"180,196,699","16,098.9","11,193","71,873","89,645","65,373",12.5663716814,963,544,0.56,0.564901349948,1.0
11,2484.75,Napa,6058796,66266,94558,Napa Valley Unified,"180,196,699","16,098.9","11,193","71,873","89,645","65,373",12.5663716814,895,575,0.64,0.642458100559,1.0
12,2461.3,Napa,6026900,66266,94559,Napa Valley Unified,"180,196,699","16,098.9","11,193","58,468","75,492","26,848",12.5663716814,435,363,0.83,0.834482758621,1.0
13,2418.06666667,Napa,6026934,66266,94559,Napa Valley Unified,"180,196,699","16,098.9","11,193","58,468","75,492","26,848",12.5663716814,499,442,0.89,0.885771543086,1.0
14,2487.65,Santa Barbara,102285,69310,93454,Santa Maria Joint Union High,"91,441,485","7,344.5","12,450","50,421","66,590","36,448",11.1296296296,2713,1993,0.73,0.734611131589,0.0
15,2506.95,Santa Barbara,4236030,69310,93454,Santa Maria Joint Union High,"91,441,485","7,344.5","12,450","50,421","66,590","36,448",11.1296296296,2618,2257,0.86,0.862108479756,0.0
16,2520.45,Santa Barbara,4234613,69310,93455,Santa Maria Joint Union High,"91,441,485","7,344.5","12,450","65,671","78,693","41,684",11.1296296296,2226,1262,0.57,0.566936208446,0.0
17,2452.0,Tulare,6054779,72298,93257,Woodville Union Elementary,"6,113,571",413.6,"14,782","37,914","47,043","64,774",15.6666666667,434,400,0.92,0.921658986175,0.0
18,2533.5,San Diego,105726,73791,92069,San Marcos Unified,"204,399,889","20,068.1","10,185","61,985","73,224","46,369",9.60330578512,2547,1149,0.45,0.451118963486,1.0
19,2426.575,San Diego,6039085,73791,92069,San Marcos Unified,"204,399,889","20,068.1","10,185","61,985","73,224","46,369",9.60330578512,785,467,0.59,0.594904458599,1.0
20,2484.18333333,San Diego,6039093,73791,92069,San Marcos Unified,"204,399,889","20,068.1","10,185","61,985","73,224","46,369",9.60330578512,1239,919,0.74,0.741727199354,1.0
21,2475.6,San Diego,6095061,73791,92069,San Marcos Unified,"204,399,889","20,068.1","10,185","61,985","73,224","46,369",9.60330578512,1377,639,0.46,0.464052287582,1.0
22,2542.9,San Diego,3737632,73791,92078,San Marcos Unified,"204,399,889","20,068.1","10,185","69,619","92,537","42,906",9.60330578512,3338,1152,0.35,0.345116836429,1.0
23,2430.85,San Diego,105882,68452,92084,Vista Unified,"244,693,157","20,843.8","11,739","55,352","69,043","47,654",14.4057971014,644,606,0.94,0.94099378882,1.0
24,2489.8,San Diego,3738705,68452,92084,Vista Unified,"244,693,157","20,843.8","11,739","55,352","69,043","47,654",14.4057971014,2515,1709,0.68,0.679522862823,1.0
25,2453.1,San Diego,6059802,68452,92084,Vista Unified,"244,693,157","20,843.8","11,739","55,352","69,043","47,654",14.4057971014,803,718,0.89,0.894146948941,1.0
26,2410.41666667,San Diego,6040596,68452,92083,Vista Unified,"244,693,157","20,843.8","11,739","55,031","66,359","36,975",14.4057971014,645,609,0.94,0.944186046512,1.0
27,2445.5,San Diego,6040653,68452,92083,Vista Unified,"244,693,157","20,843.8","11,739","55,031","66,359","36,975",14.4057971014,608,498,0.82,0.819078947368,1.0
28,2491.9,Sacramento,112078,67413,95612,River Delta Joint Unified,"20,877,221","1,818.1","11,483","93,934","118,896","1,239",12.3571428571,278,164,0.59,0.589928057554,1.0
29,2491.35,San Benito,115428,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,713,416,0.58,0.583450210379,0.0
30,2397.575,San Benito,6035026,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,659,340,0.52,0.51593323217,0.0
